"chosen_2022_code","chosen_2022_title","chosen_2017_code","chosen_2017_title","title_sim","title_dist","source","em_without","em_with"
"112340","Poultry Hatcheries","112340","Poultry Hatcheries",NA,NA,"unambig",0.407,0.438
"112390","Other Poultry Production ","112390","Other Poultry Production ",NA,NA,"unambig",0.407,0.438
"112410","Sheep Farming","112410","Sheep Farming",NA,NA,"unambig",1.077,1.128
"112420","Goat Farming","112420","Goat Farming",NA,NA,"unambig",1.077,1.128
"112511","Finfish Farming and Fish Hatcheries ","112511","Finfish Farming and Fish Hatcheries ",NA,NA,"unambig",1.077,1.128
"112512","Shellfish Farming ","112512","Shellfish Farming ",NA,NA,"unambig",1.077,1.128
"112519","Other Aquaculture ","112519","Other Aquaculture ",NA,NA,"unambig",1.077,1.128
"112910","Apiculture","112910","Apiculture",NA,NA,"unambig",1.077,1.128
"112920","Horses and Other Equine Production","112920","Horses and Other Equine Production",NA,NA,"unambig",1.077,1.128
"112930","Fur-Bearing Animal and Rabbit Production","112930","Fur-Bearing Animal and Rabbit Production",NA,NA,"unambig",1.077,1.128
"112990","All Other Animal Production ","112990","All Other Animal Production ",NA,NA,"unambig",1.077,1.128
"113110","Timber Tract Operations","113110","Timber Tract Operations",NA,NA,"unambig",0.199,0.243
"113210","Forest Nurseries and Gathering of Forest Products ","113210","Forest Nurseries and Gathering of Forest Products ",NA,NA,"unambig",0.199,0.243
"113310","Logging ","113310","Logging ",NA,NA,"unambig",0.199,0.243
"114111","Finfish Fishing ","114111","Finfish Fishing ",NA,NA,"unambig",0.127,0.154
"114112","Shellfish Fishing ","114112","Shellfish Fishing ",NA,NA,"unambig",0.127,0.154
"114119","Other Marine Fishing ","114119","Other Marine Fishing ",NA,NA,"unambig",0.127,0.154
"114210","Hunting and Trapping","114210","Hunting and Trapping",NA,NA,"unambig",0.127,0.154
"115111","Cotton Ginning ","115111","Cotton Ginning ",NA,NA,"unambig",0.384,0.384
"115112","Soil Preparation, Planting, and Cultivating ","115112","Soil Preparation, Planting, and Cultivating ",NA,NA,"unambig",0.384,0.384
"115113","Crop Harvesting, Primarily by Machine ","115113","Crop Harvesting, Primarily by Machine ",NA,NA,"unambig",0.384,0.384
"115114","Postharvest Crop Activities (except Cotton Ginning) ","115114","Postharvest Crop Activities (except Cotton Ginning) ",NA,NA,"unambig",0.384,0.384
"115115","Farm Labor Contractors and Crew Leaders ","115115","Farm Labor Contractors and Crew Leaders ",NA,NA,"unambig",0.384,0.384
"115116","Farm Management Services ","115116","Farm Management Services ",NA,NA,"unambig",0.384,0.384
"115210","Support Activities for Animal Production","115210","Support Activities for Animal Production",NA,NA,"unambig",0.384,0.384
"115310","Support Activities for Forestry","115310","Support Activities for Forestry",NA,NA,"unambig",0.384,0.384
"211120","Crude Petroleum Extraction ","211120","Crude Petroleum Extraction ",NA,NA,"unambig",0.377,0.405
"211130","Natural Gas Extraction ","211130","Natural Gas Extraction ",NA,NA,"unambig",0.377,0.405
"212114","Surface Coal Mining ","212111","Bituminous Coal and Lignite Surface Mining ",0.990343470109382,0.415230785296575,"ambig_greedy",0.747,0.841
"212115","Underground Coal Mining ","212112","Bituminous Coal Underground Mining ",0.993192059432469,0.238277919863598,"ambig_greedy",0.747,0.841
"212210","Iron Ore Mining","212210","Iron Ore Mining",NA,NA,"unambig",0.54,0.593
"212220","Gold Ore and Silver Ore Mining ","212221","Gold Ore Mining ",0.991645988420182,0.258974358974359,"ambig_greedy",0.54,0.593
"212230","Copper, Nickel, Lead, and Zinc Mining ","212230","Copper, Nickel, Lead, and Zinc Mining",NA,NA,"unambig",0.27,0.324
"212290","Other Metal Ore Mining ","212299","All Other Metal Ore Mining ",0.99361132694466,0.172494172494173,"ambig_greedy",0.54,0.593
"212311","Dimension Stone Mining and Quarrying ","212311","Dimension Stone Mining and Quarrying ",NA,NA,"unambig",0.193,0.279
"212312","Crushed and Broken Limestone Mining and Quarrying ","212312","Crushed and Broken Limestone Mining and Quarrying ",NA,NA,"unambig",0.193,0.279
"212313","Crushed and Broken Granite Mining and Quarrying ","212313","Crushed and Broken Granite Mining and Quarrying ",NA,NA,"unambig",0.193,0.279
"212319","Other Crushed and Broken Stone Mining and Quarrying ","212319","Other Crushed and Broken Stone Mining and Quarrying ",NA,NA,"unambig",0.193,0.279
"212321","Construction Sand and Gravel Mining ","212321","Construction Sand and Gravel Mining ",NA,NA,"unambig",0.184,0.309
"212322","Industrial Sand Mining ","212322","Industrial Sand Mining ",NA,NA,"unambig",0.184,0.309
"212323","Kaolin, Clay, and Ceramic and Refractory Minerals Mining ","212325","Clay and Ceramic and Refractory Minerals Mining ",0.996506435513528,0.192146046755976,"ambig_greedy",0.184,0.309
"212390","Other Nonmetallic Mineral Mining and Quarrying ","212393","Other Chemical and Fertilizer Mineral Mining ",0.9947047164901,0.248878324965282,"ambig_greedy",0.184,0.309
"213111","Drilling Oil and Gas Wells","213111","Drilling Oil and Gas Wells",NA,NA,"unambig",0.407,0.407
"213112","Support Activities for Oil and Gas Operations ","213112","Support Activities for Oil and Gas Operations ",NA,NA,"unambig",0.372,0.372
"213113","Support Activities for Coal Mining ","213113","Support Activities for Coal Mining ",NA,NA,"unambig",0.372,0.372
"213114","Support Activities for Metal Mining ","213114","Support Activities for Metal Mining ",NA,NA,"unambig",0.372,0.372
"213115","Support Activities for Nonmetallic Minerals (except Fuels) Mining ","213115","Support Activities for Nonmetallic Minerals (except Fuels) Mining ",NA,NA,"unambig",0.372,0.372
"221111","Hydroelectric Power Generation ","221111","Hydroelectric Power Generation ",NA,NA,"unambig",NA,NA
"221112","Fossil Fuel Electric Power Generation ","221112","Fossil Fuel Electric Power Generation ",NA,NA,"unambig",NA,NA
"221113","Nuclear Electric Power Generation ","221113","Nuclear Electric Power Generation ",NA,NA,"unambig",NA,NA
"221114","Solar Electric Power Generation ","221114","Solar Electric Power Generation ",NA,NA,"unambig",NA,NA
"221115","Wind Electric Power Generation ","221115","Wind Electric Power Generation ",NA,NA,"unambig",NA,NA
"221116","Geothermal Electric Power Generation ","221116","Geothermal Electric Power Generation ",NA,NA,"unambig",NA,NA
"221117","Biomass Electric Power Generation ","221117","Biomass Electric Power Generation ",NA,NA,"unambig",NA,NA
"221118","Other Electric Power Generation ","221118","Other Electric Power Generation ",NA,NA,"unambig",NA,NA
"221121","Electric Bulk Power Transmission and Control ","221121","Electric Bulk Power Transmission and Control ",NA,NA,"unambig",NA,NA
"221122","Electric Power Distribution ","221122","Electric Power Distribution ",NA,NA,"unambig",NA,NA
"221210","Natural Gas Distribution ","221210","Natural Gas Distribution ",NA,NA,"unambig",0.532,0.532
"221310","Water Supply and Irrigation Systems ","221310","Water Supply and Irrigation Systems ",NA,NA,"unambig",0.578,0.578
"221320","Sewage Treatment Facilities ","221320","Sewage Treatment Facilities ",NA,NA,"unambig",0.578,0.578
"221330","Steam and Air-Conditioning Supply ","221330","Steam and Air-Conditioning Supply ",NA,NA,"unambig",0.578,0.578
"236115","New Single-Family Housing Construction (except For-Sale Builders) ","236115","New Single-Family Housing Construction (except For-Sale Builders) ",NA,NA,"unambig",0.194,0.194
"236116","New Multifamily Housing Construction (except For-Sale Builders) ","236116","New Multifamily Housing Construction (except For-Sale Builders) ",NA,NA,"unambig",0.221,0.221
"236117","New Housing For-Sale Builders ","236117","New Housing For-Sale Builders ",NA,NA,"unambig",0.216,0.216
"236118","Residential Remodelers ","236118","Residential Remodelers ",NA,NA,"unambig",0.211,0.211
"236210","Industrial Building Construction ","236210","Industrial Building Construction ",NA,NA,"unambig",0.239,0.239
"236220","Commercial and Institutional Building Construction ","236220","Commercial and Institutional Building Construction ",NA,NA,"unambig",0.224,0.224
"237110","Water and Sewer Line and Related Structures Construction ","237110","Water and Sewer Line and Related Structures Construction ",NA,NA,"unambig",0.277,0.277
"237120","Oil and Gas Pipeline and Related Structures Construction ","237120","Oil and Gas Pipeline and Related Structures Construction ",NA,NA,"unambig",0.277,0.277
"237130","Power and Communication Line and Related Structures Construction ","237130","Power and Communication Line and Related Structures Construction ",NA,NA,"unambig",0.277,0.277
"237210","Land Subdivision ","237210","Land Subdivision ",NA,NA,"unambig",0.221,0.221
"237310","Highway, Street, and Bridge Construction ","237310","Highway, Street, and Bridge Construction ",NA,NA,"unambig",0.255,0.255
"237990","Other Heavy and Civil Engineering Construction ","237990","Other Heavy and Civil Engineering Construction ",NA,NA,"unambig",0.202,0.202
"238110","Poured Concrete Foundation and Structure Contractors ","238110","Poured Concrete Foundation and Structure Contractors ",NA,NA,"unambig",0.221,0.221
"238120","Structural Steel and Precast Concrete Contractors ","238120","Structural Steel and Precast Concrete Contractors ",NA,NA,"unambig",0.221,0.221
"238130","Framing Contractors ","238130","Framing Contractors ",NA,NA,"unambig",0.221,0.221
"238140","Masonry Contractors ","238140","Masonry Contractors ",NA,NA,"unambig",0.221,0.221
"238150","Glass and Glazing Contractors ","238150","Glass and Glazing Contractors ",NA,NA,"unambig",0.221,0.221
"238160","Roofing Contractors ","238160","Roofing Contractors ",NA,NA,"unambig",0.221,0.221
"238170","Siding Contractors ","238170","Siding Contractors ",NA,NA,"unambig",0.221,0.221
"238190","Other Foundation, Structure, and Building Exterior Contractors ","238190","Other Foundation, Structure, and Building Exterior Contractors ",NA,NA,"unambig",0.221,0.221
"238210","Electrical Contractors and Other Wiring Installation Contractors","238210","Electrical Contractors and Other Wiring Installation Contractors",NA,NA,"unambig",0.221,0.221
"238220","Plumbing, Heating, and Air-Conditioning Contractors ","238220","Plumbing, Heating, and Air-Conditioning Contractors ",NA,NA,"unambig",0.221,0.221
"238290","Other Building Equipment Contractors ","238290","Other Building Equipment Contractors ",NA,NA,"unambig",0.221,0.221
"238310","Drywall and Insulation Contractors ","238310","Drywall and Insulation Contractors ",NA,NA,"unambig",0.221,0.221
"238320","Painting and Wall Covering Contractors","238320","Painting and Wall Covering Contractors",NA,NA,"unambig",0.221,0.221
"238330","Flooring Contractors","238330","Flooring Contractors",NA,NA,"unambig",0.221,0.221
"238340","Tile and Terrazzo Contractors","238340","Tile and Terrazzo Contractors",NA,NA,"unambig",0.221,0.221
"238350","Finish Carpentry Contractors","238350","Finish Carpentry Contractors",NA,NA,"unambig",0.221,0.221
"238390","Other Building Finishing Contractors","238390","Other Building Finishing Contractors",NA,NA,"unambig",0.221,0.221
"238910","Site Preparation Contractors","238910","Site Preparation Contractors",NA,NA,"unambig",0.221,0.221
"238990","All Other Specialty Trade Contractors","238990","All Other Specialty Trade Contractors",NA,NA,"unambig",0.221,0.221
"311111","Dog and Cat Food Manufacturing ","311111","Dog and Cat Food Manufacturing ",NA,NA,"unambig",0.282,0.333
"311119","Other Animal Food Manufacturing ","311119","Other Animal Food Manufacturing ",NA,NA,"unambig",0.428,0.459
"311211","Flour Milling ","311211","Flour Milling ",NA,NA,"unambig",0.732,0.769
"311212","Rice Milling ","311212","Rice Milling ",NA,NA,"unambig",0.732,0.769
"311213","Malt Manufacturing ","311213","Malt Manufacturing ",NA,NA,"unambig",0.732,0.769
"311221","Wet Corn Milling and Starch Manufacturing ","311221","Wet Corn Milling ",NA,NA,"unambig",0.956,0.993
"311224","Soybean and Other Oilseed Processing ","311224","Soybean and Other Oilseed Processing ",NA,NA,"unambig",0.481,0.511
"311225","Fats and Oils Refining and Blending ","311225","Fats and Oils Refining and Blending ",NA,NA,"unambig",0.36,0.385
"311230","Breakfast Cereal Manufacturing","311230","Breakfast Cereal Manufacturing",NA,NA,"unambig",0.423,0.473
"311313","Beet Sugar Manufacturing ","311313","Beet Sugar Manufacturing ",NA,NA,"unambig",0.442,0.482
"311314","Cane Sugar Manufacturing ","311314","Cane Sugar Manufacturing ",NA,NA,"unambig",0.442,0.482
"311340","Nonchocolate Confectionery Manufacturing","311340","Nonchocolate Confectionery Manufacturing",NA,NA,"unambig",0.442,0.482
"311351","Chocolate and Confectionery Manufacturing from Cacao Beans ","311351","Chocolate and Confectionery Manufacturing from Cacao Beans ",NA,NA,"unambig",0.442,0.482
"311352","Confectionery Manufacturing from Purchased Chocolate ","311352","Confectionery Manufacturing from Purchased Chocolate ",NA,NA,"unambig",0.442,0.482
"311411","Frozen Fruit, Juice, and Vegetable Manufacturing ","311411","Frozen Fruit, Juice, and Vegetable Manufacturing ",NA,NA,"unambig",0.438,0.485
"311412","Frozen Specialty Food Manufacturing ","311412","Frozen Specialty Food Manufacturing ",NA,NA,"unambig",0.438,0.485
"311421","Fruit and Vegetable Canning ","311421","Fruit and Vegetable Canning ",NA,NA,"unambig",0.343,0.381
"311422","Specialty Canning ","311422","Specialty Canning ",NA,NA,"unambig",0.343,0.381
"311423","Dried and Dehydrated Food Manufacturing ","311423","Dried and Dehydrated Food Manufacturing ",NA,NA,"unambig",0.343,0.381
"311511","Fluid Milk Manufacturing ","311511","Fluid Milk Manufacturing ",NA,NA,"unambig",0.766,0.803
"311512","Creamery Butter Manufacturing ","311512","Creamery Butter Manufacturing ",NA,NA,"unambig",0.766,0.803
"311513","Cheese Manufacturing ","311513","Cheese Manufacturing ",NA,NA,"unambig",0.936,0.969
"311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing ","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing ",NA,NA,"unambig",0.605,0.642
"311520","Ice Cream and Frozen Dessert Manufacturing","311520","Ice Cream and Frozen Dessert Manufacturing",NA,NA,"unambig",0.55,0.58
"311611","Animal (except Poultry) Slaughtering ","311611","Animal (except Poultry) Slaughtering ",NA,NA,"unambig",1.086,1.12
"311612","Meat Processed from Carcasses ","311612","Meat Processed from Carcasses ",NA,NA,"unambig",1.086,1.12
"311613","Rendering and Meat Byproduct Processing ","311613","Rendering and Meat Byproduct Processing ",NA,NA,"unambig",1.086,1.12
"311615","Poultry Processing ","311615","Poultry Processing ",NA,NA,"unambig",0.361,0.391
"311710","Seafood Product Preparation and Packaging","311710","Seafood Product Preparation and Packaging",NA,NA,"unambig",0.239,0.266
"311811","Retail Bakeries ","311811","Retail Bakeries ",NA,NA,"unambig",0.213,0.253
"311812","Commercial Bakeries ","311812","Commercial Bakeries ",NA,NA,"unambig",0.213,0.253
"311813","Frozen Cakes, Pies, and Other Pastries Manufacturing ","311813","Frozen Cakes, Pies, and Other Pastries Manufacturing ",NA,NA,"unambig",0.213,0.253
"311821","Cookie and Cracker Manufacturing ","311821","Cookie and Cracker Manufacturing ",NA,NA,"unambig",0.31,0.356
"311824","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ","311824","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",NA,NA,"unambig",0.31,0.356
"311830","Tortilla Manufacturing","311830","Tortilla Manufacturing",NA,NA,"unambig",0.31,0.356
"311911","Roasted Nuts and Peanut Butter Manufacturing ","311911","Roasted Nuts and Peanut Butter Manufacturing ",NA,NA,"unambig",0.329,0.372
"311919","Other Snack Food Manufacturing ","311919","Other Snack Food Manufacturing ",NA,NA,"unambig",0.329,0.372
"311920","Coffee and Tea Manufacturing ","311920","Coffee and Tea Manufacturing ",NA,NA,"unambig",0.313,0.353
"311930","Flavoring Syrup and Concentrate Manufacturing","311930","Flavoring Syrup and Concentrate Manufacturing",NA,NA,"unambig",0.195,0.216
"311941","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ","311941","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",NA,NA,"unambig",0.303,0.344
"311942","Spice and Extract Manufacturing ","311942","Spice and Extract Manufacturing ",NA,NA,"unambig",0.303,0.344
"311991","Perishable Prepared Food Manufacturing ","311991","Perishable Prepared Food Manufacturing ",NA,NA,"unambig",0.358,0.401
"311999","All Other Miscellaneous Food Manufacturing ","311999","All Other Miscellaneous Food Manufacturing ",NA,NA,"unambig",0.358,0.401
"312111","Soft Drink Manufacturing ","312111","Soft Drink Manufacturing ",NA,NA,"unambig",0.173,0.214
"312112","Bottled Water Manufacturing ","312112","Bottled Water Manufacturing ",NA,NA,"unambig",0.173,0.214
"312113","Ice Manufacturing ","312113","Ice Manufacturing ",NA,NA,"unambig",0.173,0.214
"312120","Breweries","312120","Breweries",NA,NA,"unambig",0.209,0.274
"312130","Wineries ","312130","Wineries ",NA,NA,"unambig",0.123,0.182
"312140","Distilleries ","312140","Distilleries ",NA,NA,"unambig",0.242,0.305
"312230","Tobacco Manufacturing ","312230","Tobacco Manufacturing ",NA,NA,"unambig",0.055,0.101
"313110","Fiber, Yarn, and Thread Mills ","313110","Fiber, Yarn, and Thread Mills ",NA,NA,"unambig",0.636,0.659
"313210","Broadwoven Fabric Mills","313210","Broadwoven Fabric Mills",NA,NA,"unambig",0.48,0.507
"313220","Narrow Fabric Mills and Schiffli Machine Embroidery","313220","Narrow Fabric Mills and Schiffli Machine Embroidery",NA,NA,"unambig",0.48,0.507
"313230","Nonwoven Fabric Mills","313230","Nonwoven Fabric Mills",NA,NA,"unambig",0.48,0.507
"313240","Knit Fabric Mills","313240","Knit Fabric Mills",NA,NA,"unambig",0.48,0.507
"313310","Textile and Fabric Finishing Mills ","313310","Textile and Fabric Finishing Mills ",NA,NA,"unambig",0.37,0.396
"313320","Fabric Coating Mills","313320","Fabric Coating Mills",NA,NA,"unambig",0.37,0.396
"314110","Carpet and Rug Mills","314110","Carpet and Rug Mills",NA,NA,"unambig",0.224,0.292
"314120","Curtain and Linen Mills","314120","Curtain and Linen Mills",NA,NA,"unambig",0.206,0.267
"314910","Textile Bag and Canvas Mills ","314910","Textile Bag and Canvas Mills ",NA,NA,"unambig",0.197,0.243
"314994","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ","314994","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",NA,NA,"unambig",0.197,0.243
"314999","All Other Miscellaneous Textile Product Mills ","314999","All Other Miscellaneous Textile Product Mills ",NA,NA,"unambig",0.197,0.243
"315120","Apparel Knitting Mills","315190","Other Apparel Knitting Mills ",0.993095984475295,0.20021645021645,"ambig_greedy",0.06,0.12
"315210","Cut and Sew Apparel Contractors ","315210","Cut and Sew Apparel Contractors ",NA,NA,"unambig",0.06,0.12
"315250","Cut and Sew Apparel Manufacturing (except Contractors) ","315280","Other Cut and Sew Apparel Manufacturing ",0.995058556379311,0.261896511896512,"ambig_greedy",0.06,0.12
"315990","Apparel Accessories and Other Apparel Manufacturing ","315990","Apparel Accessories and Other Apparel Manufacturing ",NA,NA,"unambig",0.06,0.12
"316110","Leather and Hide Tanning and Finishing","316110","Leather and Hide Tanning and Finishing",NA,NA,"unambig",0.222,0.282
"316210","Footwear Manufacturing ","316210","Footwear Manufacturing ",NA,NA,"unambig",0.222,0.282
"316990","Other Leather and Allied Product Manufacturing ","316998","All Other Leather Good and Allied Product Manufacturing ",0.996890880858272,0.174110671936759,"ambig_greedy",0.222,0.282
"321113","Sawmills ","321113","Sawmills ",NA,NA,"unambig",0.227,0.264
"321114","Wood Preservation ","321114","Wood Preservation ",NA,NA,"unambig",0.227,0.264
"321211","Hardwood Veneer and Plywood Manufacturing ","321211","Hardwood Veneer and Plywood Manufacturing ",NA,NA,"unambig",0.187,0.208
"321212","Softwood Veneer and Plywood Manufacturing ","321212","Softwood Veneer and Plywood Manufacturing ",NA,NA,"unambig",0.187,0.208
"321215","Engineered Wood Member Manufacturing ","321213","Engineered Wood Member (except Truss) Manufacturing ",0.997490551776266,0.125472411186697,"ambig_greedy",0.187,0.208
"321219","Reconstituted Wood Product Manufacturing ","321219","Reconstituted Wood Product Manufacturing ",NA,NA,"unambig",0.187,0.208
"321911","Wood Window and Door Manufacturing ","321911","Wood Window and Door Manufacturing ",NA,NA,"unambig",0.122,0.154
"321912","Cut Stock, Resawing Lumber, and Planing ","321912","Cut Stock, Resawing Lumber, and Planing ",NA,NA,"unambig",0.122,0.154
"321918","Other Millwork (including Flooring) ","321918","Other Millwork (including Flooring) ",NA,NA,"unambig",0.122,0.154
"321920","Wood Container and Pallet Manufacturing","321920","Wood Container and Pallet Manufacturing",NA,NA,"unambig",0.135,0.164
"321991","Manufactured Home (Mobile Home) Manufacturing ","321991","Manufactured Home (Mobile Home) Manufacturing ",NA,NA,"unambig",0.135,0.164
"321992","Prefabricated Wood Building Manufacturing ","321992","Prefabricated Wood Building Manufacturing ",NA,NA,"unambig",0.135,0.164
"321999","All Other Miscellaneous Wood Product Manufacturing ","321999","All Other Miscellaneous Wood Product Manufacturing ",NA,NA,"unambig",0.135,0.164
"322110","Pulp Mills ","322110","Pulp Mills ",NA,NA,"unambig",0.977,1.002
"322120","Paper Mills ","322121","Paper (except Newsprint) Mills ",0.987218241528586,0.370670995670996,"ambig_greedy",0.603,0.649
"322130","Paperboard Mills ","322130","Paperboard Mills ",NA,NA,"unambig",0.789,0.829
"322211","Corrugated and Solid Fiber Box Manufacturing ","322211","Corrugated and Solid Fiber Box Manufacturing ",NA,NA,"unambig",0.449,0.479
"322212","Folding Paperboard Box Manufacturing ","322212","Folding Paperboard Box Manufacturing ",NA,NA,"unambig",0.449,0.479
"322219","Other Paperboard Container Manufacturing ","322219","Other Paperboard Container Manufacturing ",NA,NA,"unambig",0.449,0.479
"322220","Paper Bag and Coated and Treated Paper Manufacturing","322220","Paper Bag and Coated and Treated Paper Manufacturing",NA,NA,"unambig",0.33,0.364
"322230","Stationery Product Manufacturing","322230","Stationery Product Manufacturing",NA,NA,"unambig",0.265,0.296
"322291","Sanitary Paper Product Manufacturing ","322291","Sanitary Paper Product Manufacturing ",NA,NA,"unambig",0.275,0.34
"322299","All Other Converted Paper Product Manufacturing ","322299","All Other Converted Paper Product Manufacturing ",NA,NA,"unambig",0.305,0.343
"323111","Commercial Printing (except Screen and Books) ","323111","Commercial Printing (except Screen and Books) ",NA,NA,"unambig",0.202,0.236
"323113","Commercial Screen Printing ","323113","Commercial Screen Printing ",NA,NA,"unambig",0.202,0.236
"323117","Books Printing ","323117","Books Printing ",NA,NA,"unambig",0.202,0.236
"323120","Support Activities for Printing","323120","Support Activities for Printing",NA,NA,"unambig",0.214,0.237
"324110","Petroleum Refineries","324110","Petroleum Refineries",NA,NA,"unambig",0.248,0.27
"324121","Asphalt Paving Mixture and Block Manufacturing ","324121","Asphalt Paving Mixture and Block Manufacturing ",NA,NA,"unambig",1.093,1.121
"324122","Asphalt Shingle and Coating Materials Manufacturing ","324122","Asphalt Shingle and Coating Materials Manufacturing ",NA,NA,"unambig",0.576,0.608
"324191","Petroleum Lubricating Oil and Grease Manufacturing ","324191","Petroleum Lubricating Oil and Grease Manufacturing ",NA,NA,"unambig",0.359,0.391
"324199","All Other Petroleum and Coal Products Manufacturing ","324199","All Other Petroleum and Coal Products Manufacturing ",NA,NA,"unambig",0.359,0.391
"325110","Petrochemical Manufacturing","325110","Petrochemical Manufacturing",NA,NA,"unambig",0.794,0.811
"325120","Industrial Gas Manufacturing","325120","Industrial Gas Manufacturing",NA,NA,"unambig",1.163,1.211
"325130","Synthetic Dye and Pigment Manufacturing","325130","Synthetic Dye and Pigment Manufacturing",NA,NA,"unambig",0.406,0.432
"325180","Other Basic Inorganic Chemical Manufacturing ","325180","Other Basic Inorganic Chemical Manufacturing ",NA,NA,"unambig",0.974,1.01
"325193","Ethyl Alcohol Manufacturing ","325193","Ethyl Alcohol Manufacturing ",NA,NA,"unambig",1.166,1.184
"325194","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ","325194","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",NA,NA,"unambig",1.166,1.184
"325199","All Other Basic Organic Chemical Manufacturing ","325199","All Other Basic Organic Chemical Manufacturing ",NA,NA,"unambig",1.166,1.184
"325211","Plastics Material and Resin Manufacturing ","325211","Plastics Material and Resin Manufacturing ",NA,NA,"unambig",1.022,1.045
"325212","Synthetic Rubber Manufacturing ","325212","Synthetic Rubber Manufacturing ",NA,NA,"unambig",0.886,0.902
