Input Seq,2022 NAICS Code,2022 NAICS Title,Change to 2017 Code,2017 NAICS Code,2017 NAICS Title
140,311119,Other Animal Food Manufacturing ,No Change,311119,Other Animal Food Manufacturing 
141,311211,Flour Milling ,No Change,311211,Flour Milling 
142,311212,Rice Milling ,No Change,311212,Rice Milling 
143,311213,Malt Manufacturing ,No Change,311213,Malt Manufacturing 
144,311221,Wet Corn Milling and Starch Manufacturing ,"Same Code, new title",311221,Wet Corn Milling 
145,311224,Soybean and Other Oilseed Processing ,No Change,311224,Soybean and Other Oilseed Processing 
146,311225,Fats and Oils Refining and Blending ,No Change,311225,Fats and Oils Refining and Blending 
147,311230,Breakfast Cereal Manufacturing,No Change,311230,Breakfast Cereal Manufacturing
148,311313,Beet Sugar Manufacturing ,No Change,311313,Beet Sugar Manufacturing 
149,311314,Cane Sugar Manufacturing ,No Change,311314,Cane Sugar Manufacturing 
150,311340,Nonchocolate Confectionery Manufacturing,No Change,311340,Nonchocolate Confectionery Manufacturing
151,311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,No Change,311351,Chocolate and Confectionery Manufacturing from Cacao Beans 
152,311352,Confectionery Manufacturing from Purchased Chocolate ,No Change,311352,Confectionery Manufacturing from Purchased Chocolate 
153,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",No Change,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing "
154,311412,Frozen Specialty Food Manufacturing ,No Change,311412,Frozen Specialty Food Manufacturing 
155,311421,Fruit and Vegetable Canning ,No Change,311421,Fruit and Vegetable Canning 
156,311422,Specialty Canning ,No Change,311422,Specialty Canning 
157,311423,Dried and Dehydrated Food Manufacturing ,No Change,311423,Dried and Dehydrated Food Manufacturing 
158,311511,Fluid Milk Manufacturing ,No Change,311511,Fluid Milk Manufacturing 
159,311512,Creamery Butter Manufacturing ,No Change,311512,Creamery Butter Manufacturing 
160,311513,Cheese Manufacturing ,No Change,311513,Cheese Manufacturing 
161,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",No Change,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing "
162,311520,Ice Cream and Frozen Dessert Manufacturing,No Change,311520,Ice Cream and Frozen Dessert Manufacturing
163,311611,Animal (except Poultry) Slaughtering ,No Change,311611,Animal (except Poultry) Slaughtering 
164,311612,Meat Processed from Carcasses ,No Change,311612,Meat Processed from Carcasses 
165,311613,Rendering and Meat Byproduct Processing ,No Change,311613,Rendering and Meat Byproduct Processing 
166,311615,Poultry Processing ,No Change,311615,Poultry Processing 
167,311710,Seafood Product Preparation and Packaging,No Change,311710,Seafood Product Preparation and Packaging
168,311811,Retail Bakeries ,No Change,311811,Retail Bakeries 
169,311812,Commercial Bakeries ,No Change,311812,Commercial Bakeries 
170,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",No Change,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing "
171,311821,Cookie and Cracker Manufacturing ,No Change,311821,Cookie and Cracker Manufacturing 
172,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",No Change,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour "
173,311830,Tortilla Manufacturing,No Change,311830,Tortilla Manufacturing
174,311911,Roasted Nuts and Peanut Butter Manufacturing ,No Change,311911,Roasted Nuts and Peanut Butter Manufacturing 
175,311919,Other Snack Food Manufacturing ,No Change,311919,Other Snack Food Manufacturing 
176,311920,Coffee and Tea Manufacturing ,No Change,311920,Coffee and Tea Manufacturing 
177,311930,Flavoring Syrup and Concentrate Manufacturing,No Change,311930,Flavoring Syrup and Concentrate Manufacturing
178,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",No Change,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing "
179,311942,Spice and Extract Manufacturing ,No Change,311942,Spice and Extract Manufacturing 
180,311991,Perishable Prepared Food Manufacturing ,No Change,311991,Perishable Prepared Food Manufacturing 
181,311999,All Other Miscellaneous Food Manufacturing ,No Change,311999,All Other Miscellaneous Food Manufacturing 
182,312111,Soft Drink Manufacturing ,No Change,312111,Soft Drink Manufacturing 
183,312112,Bottled Water Manufacturing ,No Change,312112,Bottled Water Manufacturing 
184,312113,Ice Manufacturing ,No Change,312113,Ice Manufacturing 
185,312120,Breweries,No Change,312120,Breweries
186,312130,Wineries ,No Change,312130,Wineries 
187,312140,Distilleries ,No Change,312140,Distilleries 
188,312230,Tobacco Manufacturing ,No Change,312230,Tobacco Manufacturing 
189,313110,"Fiber, Yarn, and Thread Mills ",No Change,313110,"Fiber, Yarn, and Thread Mills "
190,313210,Broadwoven Fabric Mills,No Change,313210,Broadwoven Fabric Mills
191,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,No Change,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
192,313230,Nonwoven Fabric Mills,No Change,313230,Nonwoven Fabric Mills
193,313240,Knit Fabric Mills,No Change,313240,Knit Fabric Mills
194,313310,Textile and Fabric Finishing Mills ,No Change,313310,Textile and Fabric Finishing Mills 
195,313320,Fabric Coating Mills,No Change,313320,Fabric Coating Mills
196,314110,Carpet and Rug Mills,No Change,314110,Carpet and Rug Mills
197,314120,Curtain and Linen Mills,No Change,314120,Curtain and Linen Mills
198,314910,Textile Bag and Canvas Mills ,No Change,314910,Textile Bag and Canvas Mills 
199,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",No Change,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills "
200,314999,All Other Miscellaneous Textile Product Mills ,No Change,314999,All Other Miscellaneous Textile Product Mills 
202,315120,Apparel Knitting Mills,New NAICS Code,315110,Hosiery and Sock Mills
201,315120,Apparel Knitting Mills,New NAICS Code,315190,Other Apparel Knitting Mills 
203,315210,Cut and Sew Apparel Contractors ,No Change,315210,Cut and Sew Apparel Contractors 
205,315250,Cut and Sew Apparel Manufacturing (except Contractors) ,New NAICS Code,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing 
206,315250,Cut and Sew Apparel Manufacturing (except Contractors) ,New NAICS Code,315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing "
204,315250,Cut and Sew Apparel Manufacturing (except Contractors) ,New NAICS Code,315280,Other Cut and Sew Apparel Manufacturing 
207,315990,Apparel Accessories and Other Apparel Manufacturing ,No Change,315990,Apparel Accessories and Other Apparel Manufacturing 
208,316110,Leather and Hide Tanning and Finishing,No Change,316110,Leather and Hide Tanning and Finishing
209,316210,Footwear Manufacturing ,No Change,316210,Footwear Manufacturing 
211,316990,Other Leather and Allied Product Manufacturing ,New NAICS Code,316992,Women's Handbag and Purse Manufacturing 
210,316990,Other Leather and Allied Product Manufacturing ,New NAICS Code,316998,All Other Leather Good and Allied Product Manufacturing 
212,321113,Sawmills ,No Change,321113,Sawmills 
213,321114,Wood Preservation ,No Change,321114,Wood Preservation 
214,321211,Hardwood Veneer and Plywood Manufacturing ,No Change,321211,Hardwood Veneer and Plywood Manufacturing 
215,321212,Softwood Veneer and Plywood Manufacturing ,No Change,321212,Softwood Veneer and Plywood Manufacturing 
216,321215,Engineered Wood Member Manufacturing ,New NAICS Code,321213,Engineered Wood Member (except Truss) Manufacturing 
217,321215,Engineered Wood Member Manufacturing ,New NAICS Code,321214,Truss Manufacturing 
218,321219,Reconstituted Wood Product Manufacturing ,No Change,321219,Reconstituted Wood Product Manufacturing 
219,321911,Wood Window and Door Manufacturing ,No Change,321911,Wood Window and Door Manufacturing 
220,321912,"Cut Stock, Resawing Lumber, and Planing ",No Change,321912,"Cut Stock, Resawing Lumber, and Planing "
221,321918,Other Millwork (including Flooring) ,No Change,321918,Other Millwork (including Flooring) 
222,321920,Wood Container and Pallet Manufacturing,No Change,321920,Wood Container and Pallet Manufacturing
223,321991,Manufactured Home (Mobile Home) Manufacturing ,No Change,321991,Manufactured Home (Mobile Home) Manufacturing 
224,321992,Prefabricated Wood Building Manufacturing ,No Change,321992,Prefabricated Wood Building Manufacturing 
225,321999,All Other Miscellaneous Wood Product Manufacturing ,No Change,321999,All Other Miscellaneous Wood Product Manufacturing 
226,322110,Pulp Mills ,No Change,322110,Pulp Mills 
227,322120,Paper Mills ,New NAICS Code,322121,Paper (except Newsprint) Mills 
228,322120,Paper Mills ,New NAICS Code,322122,Newsprint Mills 
229,322130,Paperboard Mills ,No Change,322130,Paperboard Mills 
230,322211,Corrugated and Solid Fiber Box Manufacturing ,No Change,322211,Corrugated and Solid Fiber Box Manufacturing 
231,322212,Folding Paperboard Box Manufacturing ,No Change,322212,Folding Paperboard Box Manufacturing 
232,322219,Other Paperboard Container Manufacturing ,No Change,322219,Other Paperboard Container Manufacturing 
233,322220,Paper Bag and Coated and Treated Paper Manufacturing,No Change,322220,Paper Bag and Coated and Treated Paper Manufacturing
234,322230,Stationery Product Manufacturing,No Change,322230,Stationery Product Manufacturing
235,322291,Sanitary Paper Product Manufacturing ,No Change,322291,Sanitary Paper Product Manufacturing 
236,322299,All Other Converted Paper Product Manufacturing ,No Change,322299,All Other Converted Paper Product Manufacturing 
237,323111,Commercial Printing (except Screen and Books) ,No Change,323111,Commercial Printing (except Screen and Books) 
238,323113,Commercial Screen Printing ,No Change,323113,Commercial Screen Printing 
239,323117,Books Printing ,No Change,323117,Books Printing 
240,323120,Support Activities for Printing,No Change,323120,Support Activities for Printing
241,324110,Petroleum Refineries,No Change,324110,Petroleum Refineries
242,324121,Asphalt Paving Mixture and Block Manufacturing ,No Change,324121,Asphalt Paving Mixture and Block Manufacturing 
243,324122,Asphalt Shingle and Coating Materials Manufacturing ,No Change,324122,Asphalt Shingle and Coating Materials Manufacturing 
244,324191,Petroleum Lubricating Oil and Grease Manufacturing ,No Change,324191,Petroleum Lubricating Oil and Grease Manufacturing 
245,324199,All Other Petroleum and Coal Products Manufacturing ,No Change,324199,All Other Petroleum and Coal Products Manufacturing 
246,325110,Petrochemical Manufacturing,No Change,325110,Petrochemical Manufacturing
247,325120,Industrial Gas Manufacturing,No Change,325120,Industrial Gas Manufacturing
248,325130,Synthetic Dye and Pigment Manufacturing,No Change,325130,Synthetic Dye and Pigment Manufacturing
249,325180,Other Basic Inorganic Chemical Manufacturing ,No Change,325180,Other Basic Inorganic Chemical Manufacturing 
250,325193,Ethyl Alcohol Manufacturing ,No Change,325193,Ethyl Alcohol Manufacturing 
251,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",No Change,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing "
252,325199,All Other Basic Organic Chemical Manufacturing ,No Change,325199,All Other Basic Organic Chemical Manufacturing 
253,325211,Plastics Material and Resin Manufacturing ,No Change,325211,Plastics Material and Resin Manufacturing 
254,325212,Synthetic Rubber Manufacturing ,No Change,325212,Synthetic Rubber Manufacturing 
255,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,No Change,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
256,325311,Nitrogenous Fertilizer Manufacturing ,No Change,325311,Nitrogenous Fertilizer Manufacturing 
257,325312,Phosphatic Fertilizer Manufacturing ,No Change,325312,Phosphatic Fertilizer Manufacturing 
258,325314,Fertilizer (Mixing Only) Manufacturing ,No Change,325314,Fertilizer (Mixing Only) Manufacturing 
260,325320,Pesticide and Other Agricultural Chemical Manufacturing,No Change,325320,Pesticide and Other Agricultural Chemical Manufacturing
261,325411,Medicinal and Botanical Manufacturing ,No Change,325411,Medicinal and Botanical Manufacturing 
262,325412,Pharmaceutical Preparation Manufacturing ,No Change,325412,Pharmaceutical Preparation Manufacturing 
263,325413,In-Vitro Diagnostic Substance Manufacturing ,No Change,325413,In-Vitro Diagnostic Substance Manufacturing 
264,325414,Biological Product (except Diagnostic) Manufacturing ,No Change,325414,Biological Product (except Diagnostic) Manufacturing 
265,325510,Paint and Coating Manufacturing,No Change,325510,Paint and Coating Manufacturing
266,325520,Adhesive Manufacturing,No Change,325520,Adhesive Manufacturing
267,325611,Soap and Other Detergent Manufacturing ,No Change,325611,Soap and Other Detergent Manufacturing 
268,325612,Polish and Other Sanitation Good Manufacturing ,No Change,325612,Polish and Other Sanitation Good Manufacturing 
269,325613,Surface Active Agent Manufacturing ,No Change,325613,Surface Active Agent Manufacturing 
270,325620,Toilet Preparation Manufacturing,No Change,325620,Toilet Preparation Manufacturing
271,325910,Printing Ink Manufacturing,No Change,325910,Printing Ink Manufacturing
272,325920,Explosives Manufacturing,No Change,325920,Explosives Manufacturing
273,325991,Custom Compounding of Purchased Resins ,No Change,325991,Custom Compounding of Purchased Resins 
274,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ","Same Code, new title",325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing "
275,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,No Change,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
276,326111,Plastics Bag and Pouch Manufacturing ,No Change,326111,Plastics Bag and Pouch Manufacturing 
277,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,No Change,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
278,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,No Change,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
279,326121,Unlaminated Plastics Profile Shape Manufacturing ,No Change,326121,Unlaminated Plastics Profile Shape Manufacturing 
280,326122,Plastics Pipe and Pipe Fitting Manufacturing ,No Change,326122,Plastics Pipe and Pipe Fitting Manufacturing 
281,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",No Change,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
282,326140,Polystyrene Foam Product Manufacturing,No Change,326140,Polystyrene Foam Product Manufacturing
283,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,No Change,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
284,326160,Plastics Bottle Manufacturing,No Change,326160,Plastics Bottle Manufacturing
285,326191,Plastics Plumbing Fixture Manufacturing ,No Change,326191,Plastics Plumbing Fixture Manufacturing 
286,326199,All Other Plastics Product Manufacturing ,No Change,326199,All Other Plastics Product Manufacturing 
287,326211,Tire Manufacturing (except Retreading) ,No Change,326211,Tire Manufacturing (except Retreading) 
288,326212,Tire Retreading ,No Change,326212,Tire Retreading 
289,326220,Rubber and Plastics Hoses and Belting Manufacturing,No Change,326220,Rubber and Plastics Hoses and Belting Manufacturing
290,326291,Rubber Product Manufacturing for Mechanical Use ,No Change,326291,Rubber Product Manufacturing for Mechanical Use 
291,326299,All Other Rubber Product Manufacturing ,No Change,326299,All Other Rubber Product Manufacturing 
292,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",No Change,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
293,327120,Clay Building Material and Refractories Manufacturing ,No Change,327120,Clay Building Material and Refractories Manufacturing 
294,327211,Flat Glass Manufacturing ,No Change,327211,Flat Glass Manufacturing 
295,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,No Change,327212,Other Pressed and Blown Glass and Glassware Manufacturing 
296,327213,Glass Container Manufacturing ,No Change,327213,Glass Container Manufacturing 
297,327215,Glass Product Manufacturing Made of Purchased Glass ,No Change,327215,Glass Product Manufacturing Made of Purchased Glass 
298,327310,Cement Manufacturing,No Change,327310,Cement Manufacturing
299,327320,Ready-Mix Concrete Manufacturing,No Change,327320,Ready-Mix Concrete Manufacturing
300,327331,Concrete Block and Brick Manufacturing ,No Change,327331,Concrete Block and Brick Manufacturing 
301,327332,Concrete Pipe Manufacturing ,No Change,327332,Concrete Pipe Manufacturing 
302,327390,Other Concrete Product Manufacturing ,No Change,327390,Other Concrete Product Manufacturing 
303,327410,Lime Manufacturing,No Change,327410,Lime Manufacturing
304,327420,Gypsum Product Manufacturing,No Change,327420,Gypsum Product Manufacturing
305,327910,Abrasive Product Manufacturing,No Change,327910,Abrasive Product Manufacturing
306,327991,Cut Stone and Stone Product Manufacturing ,No Change,327991,Cut Stone and Stone Product Manufacturing 
307,327992,Ground or Treated Mineral and Earth Manufacturing ,No Change,327992,Ground or Treated Mineral and Earth Manufacturing 
